ID;Mövzu;Sual Tipi;Çətinlik Səviyyəsi;Sual;A;B;C;D;E;Doğru Cavab
126322;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Relyasion verilənlər bazasında iki fərqli cədvəl arasında məntiqi və fiziki əlaqə hansı strukturlar vasitəsilə qurulur?;Cədvəllərin fərqli tipli ixtiyari sahələri ilə;Bir cədvəlin Əsas Açarı (Primary Key) ilə digər cədvəlin ona uyğun Xarici Açarı (Foreign Key) arasında;Hər iki cədvəlin yalnız Sayğac (AutoNumber) tipli sahələri arasında;Cədvəllərin yalnız mətn tipli təkrarlanan indeks sahələri vasitəsilə;Faylların yaddaş tutumu və yaradılma tarixləri ilə;B
126323;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazası cədvəlində "Əsas açar" (Primary Key) anlayışının fundamental xüsusiyyəti hansıdır?;Cədvəldə istənilən vaxt boş (Null) qala bilən və mətni şifrləyən sahədir;Cədvəldəki hər bir yazını unikal (təkrarolunmaz) şəkildə eyniləşdirən və boş buraxılması qeyri-mümkün olan sahədir;Digər cədvəllərdən məlumat çəkmək üçün istifadə olunan və ancaq mətn tipində olan sahədir;Yalnız hesablama və statistik əməliyyatlarda iştirak edən sahədir;Cədvəlin sətir sayını avtomatik hesablaYaraq 100-ə vuran sütundur;B
126324;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Cədvəllərarası "Birə-bir (1:1)" əlaqə növü real verilənlər bazası arxitekturasında nəyi ifadə edir?;Bir cədvəldəki bir yazının digər əlaqəli cədvəldə yalnız və yalnız bir yazıya qarşılıq gəlməsini;Bir cədvəldəki bir sətir məlumatın digər cədvəldə çoxlu sayda sətirlə eyniləşməsini;İki fərqli cədvəlin verilənlərinin eyni anda tamamilə silinməsini;Bütün sütunların məlumat tiplərinin mütləq rəqəmsal olmasını;Cədvəllərin yaddaş diskində eyni fiziki ölçüyə malik olmasını;A
126326;İnformatika (Verilənlər bazası);Çoxseçimli;Çətin;Relyasion bazada birbaşa qurulması mümkün olmayan "Çoxa-çox (M:N)" əlaqəsi praktikada necə reallaşdırılır?;Hər iki cədvəlin adlarını eyniləşdirib daxili alt-cədvəl yaratmaqla;Hər iki cədvəlin əsas açarlarını xarici açar kimi özündə saxlayan üçüncü bir keçid (aralıq) cədvəli yaratmaq və iki ədəd "birə-çox" əlaqəsi qurmaqla;Cədvəllərdəki bütün unikal mətn sahələrini ləğv etməklə;Fayl formatını dəyişərək SQL sorğularını bloklamaqla;Hər iki cədvəlin əsas açarını mətndən məntiqi tipə çevirməklə;B
126327;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazasında "Xarici açar" (Foreign Key) anlayışının əsas təyinatı nədir?;Cədvəlin daxilində sətirləri əlifba sırası ilə düzmək;Bir cədvəlin Əsas Açarına istinad edərək cədvəllər arasında relyasion əlaqə və asılılıq yaradan digər cədvəldəki sahədir;Şəkillərin formatını və ölçüsünü dəyişən daxili sistem alətidir;Cədvəlin ümumi sətir sayını hesabat pəncərəsində göstərən sahədir;Baza inzibatçısının sistemə daxil olması üçün tələb olunan təhlükəsizlik şifrəsidir;B
126328;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazası relyasiya modelində "Referensial bütövlük" (Referential Integrity) nə üçündür?;Cədvəlin dizayn rənglərini və şrift üslubunu nizamlamaq üçün;Əlaqəli cədvəllər arasındakı verilənlərin doğruluğunu, tamlığını qorumaq və əlaqəsiz, sahibsiz (yetim) qeydlərin yaranmasını əngəlləmək üçün;Kompüterin mərkəzi prosessorunun emal sürətini artırmaq üçün;Mətn tipli sahələrin simvol limitini avtomatik genişləndirmək üçün;İnternet şəbəkəsinin giriş təhlükəsizliyini təmin etmək üçün;B
126329;İnformatika (Verilənlər bazası);Çoxseçimli;Çətin;Əgər əlaqəli cədvəllərdə referensial bütövlük (Referential Integrity) qaydaları aktiv edilməzsə və ya pozularsa nə baş verər?;Kompüterin əməliyyat sistemi tamamilə çökər;Əsas cədvəldən silinmiş qeydlərin ID-ləri köməkçi cədvəldə sahibsiz (orphan records) qalar, verilənlərin məntiqi tamlığı və etibarlılığı itər;Cədvəllər avtomatik olaraq heç bir xəbərdarlıq olmadan Excel faylına çevrilər;Sorğularda istifadə olunan bütün riyazi düsturlar sıfırlanar;Baza daxilindəki bütün mətnlər avtomatik böyük hərflərə çevrilər;B
126330;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Cədvəllərarası əlaqələrin verilənlər bazasının normallaşdırılması qaydalarına uyğun qurulması nəyi təmin edir?;Veb-interfeys dizaynının daha parlaq və rəngarəng görünməsini;Verilənlərin lüzumsuz təkrarlanmasının (data redundancy) qarşısının alınmasını, informasiya tamlığını və yaddaş optimallaşdırılmasını;Kompüter siçanının ekrandakı hərəkət sürətinin artmasını;Bütün cədvəllərin kənar şəxslərdən avtomatik şifrlənməsini;Faylların daxili proqram kodlarının sistemdən tamamilə silinməsini;B
126331;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Məntiqi olaraq əlaqələndirilmiş cədvəllər strukturu istifadəçilər üçün hansı əməliyyatı asanlaşdırır?;Kompüter aparatını fiziki və mexaniki olaraq təmir etməyi;Çətin çoxcədvəlli sorğular vasitəsilə fərqli mənbələrdəki verilənləri vahid bir hesabatda birləşdirib analiz etməyi;Klaviaturada daxiletmə zamanı düymələrin yerini sürətli tapmağı;Səs fayllarını multimedia pleyerində daha keyfiyyətli oxutmağı;Əməliyyat sisteminin daxili dil paketlərini yeniləməyi;B
126332;İnformatika (Verilənlər bazası);Çoxseçimli;Çətin;Verilənlər bazası layihələndirilərkən cədvəllər arasında qurulan səhv və ya məntiqsiz əlaqə (məsələn, unikal olmayan sahələr üzərindən) nə yaradar?;Kompüter şəbəkəsinin fiziki qoşulma naqillərinin sıradan çıxmasını;Yanlış, ziddiyyətli məlumatların (data inconsistency) yaranmasını, sorğu və hesabatların tamamilə səhv nəticələr çıxarmasını;Cədvəlin verilənlər daxil edilən an avtomatik olaraq silinməsini;Monitor pəncərələrinin ölçülərinin nizamsız şəkildə kiçilməsini;Mətn redaktorunda Azərbaycan şriftlərinin kodlaşdırma xətasını;B
126333;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Əlaqəli cədvəllər arasındakı mövzu əlaqəsi (relationship) tamamilə silindikdə nə baş verə bilər?;Kompüterin daxili sərt diski mexaniki zədələnər;Cədvəllər bir-birindən təcrid olunur, vahid verilənlər zənciri qırılır və əlaqəli (inteqrasiyalı) axtarışlar qeyri-mümkün olur;Baza faylının ümumi ölçüsü verilənlərlə birlikdə avtomatik sıfıra enər;İnternet provayderi tərəfindən şəbəkə xətti dərhal bloklanar;Cədvəldəki mətnlər avtomatik olaraq xüsusi simvollara çevrilər;B
126334;İnformatika (Verilənlər bazası);Çoxseçimli;Çətin;Köməkçi cədvələ əsas cədvəldə mövjud olmayan bir obyektin ID-sini (yanlış xarici açar) daxil etmək nə ilə nəticələnir?;Cədvəlin fon rənginin avtomatik qırmızıya çevrilməsi ilə;Referensial bütövlük xətası (Foreign Key Constraint Error) yaranması və sistemin bu qeydi qəbul etməməsi ilə;Kompüter klavaturasının proqram təminatı tərəfindən kilidlənməsi ilə;Baza faylının internet şəbəkəsində icazəsiz paylaşılması ilə;Baza admin panelinin və bütün formaların silinməsi ilə;B
126335;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Böyük bir müəssisənin verilənlər bazasında cədvəllərarası əlaqələrin idarə olunmaması və xaotik buraxılması nəyə səbəb olar?;Kompüterlərin printerlərindəki kartriclərin Çətininin anidən bitməsinə;Məlumat təkrarlanmasına, axtarışın hədsiz ləngiməsinə və idarəolunmaz informasiya böhranına (chaos);Sistem drayverlərinin internetdən avtomatik və lüzumsuz yenilənməsinə;Monitorun təsvir və ekran keyfiyyətinin süni şəkildə artmasına;Bütün Word sənədlərinin avtomatik olaraq şəkil formatına çevrilməsinə;B
126336;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Cədvəllərarası əlaqələr və relyasiya verilənlər modelləri haqqında biliklər şagirdlərdə hansı bacarığı inkişaf etdirir?;Rəsm və dizayn layihələrini kompüterdə rəngləmək bacarığını;Çətin informasiya strukturlarını analiz etmə, obyektlər arasındakı asılılıqları görmə və sistemli analitik düşüncəni;Kompüterin əməliyyat sistemi kodlarını əllə silmək vərdişini;Səs dalğalarını xüsusi proqramlarda montaj etmək bacarığını;Mətnləri kompüter ekranından sürətli oxuma vərdişini;B
126337;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazasında cədvəllərarası əlaqələrlə praktiki işləmək şagirdlərdə hansı peşəkar vərdişi formalaşdırır?;İnternet və şəbəkə kabellərini fiziki olaraq bir-birinə bağlamaq vərdişini;İnformasiyanı məntiqi strukturlaşdırma, verilənlər modeli qurma və məlumat mühəndisliyi dünyagörüşünü;Yalnız antivirus proqramlarının daxili tənzimləmələrini idarə etmək bacarığını;Mətnlərin kağız surətini skaner vasitəsilə çıxarmaq vərdişini;Kompüterin daxili ana platalarını fiziki təmizləməyi;B
126338;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Cədvəllərarası məntiqi əlaqələr müasir rəqəmsal dünyada harada ən kritik və həyati əhəmiyyətə malikdir?;Yalnız sadə riyazi əməliyyatlar aparan kalkulyator proqramlarında;Bank sistemlərində, e-ticarət platformalarında, dövlət reyestrlərində və irimiqyaslı ERP idarəetmə sistemlərində;Yalnız lokal video oynadıcı və media tətbiqlərin daxilində;Sadə mətn tipli .txt uzantılı sənədlərin içində;Heç bir rəqəmsal və ya avtomatlaşdırılmış sistemdə vacib deyil;B
126339;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Cədvəllər arasında dürüst və optimallaşdırılmış əlaqə qurmaq bazanı hazırlayan şəxsdən ilk növbədə nə tələb edir?;Yalnız klaviaturada sürətli yazı yazmaq bacarığını;Real dünyadakı obyektləri və prosesləri düzgün analiz edib, onların məntiqi asılılıq modelini (ERD) qurmağı;Kompüterin qrafik kartını və prosessorunu yenisi ilə dəyişdirməyi;Monitorun parlaqlıq və kontrast dərəcəsini maksimuma çatdırmağı;Baza proqram təminatını mütləq ingilis dilində istifadə etməyi;B
126340;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazası arxitekturasında mühüm bir obyekt olan "Sorğu" (Query) nədir?;Cədvəlin sütunlarına yeni rənglər verən vizual dizayn alətidir;Müəyyən edilmiş kriteriyalara (şərtlərə) əsasən bazadan lazım olan məlumatları seçmək, filtrləmək və emal etmək üçün istifadə olunan obyektdir;Kompüter şəbəkəsinin sürətini test edən xarici aparatdır;Mətnlərin qrammatik səsini yoxlayan daxili proqram moduludur;Baza faylını tamamilə yaddaşdan silən SQL əmridir;B
126341;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazasında sorğuların (queries) istifadə edilməsinin fundamental məqsədi nədir?;Baza faylının diskdə tutduğu fiziki sahənin ölçüsünü süni şəkildə artırmaq;Böyük verilənlər yığınından yalnız istifadəçinin şərtlərinə uyğun gələn spesifik məlumatları sürətlə süzüb ekrana çıxarmaq;Monitor pəncərələrinin sayını proqram daxilində çoxaltmaq;Kompüteri kiberhücumlardan və zərərli proqramlardan fiziki qorumaq;Bütün cədvəl adlarını əlifba sırası ilə avtomatik sıralamaq;B
